日期,中国国债收益率2年,中国国债收益率5年,中国国债收益率10年,中国国债收益率30年,美国国债收益率10年
2019-01-01,2.192,2.443,2.478,3.022,422.073
2019-01-02,2.181,2.438,2.483,3.013,426.678
2019-01-03,2.184,2.468,2.478,3.004,426.702
2019-01-04,2.199,2.468,2.477,3.01,425.417
2019-01-07,2.197,2.49,2.486,2.97,424.092
2019-01-08,2.202,2.515,2.466,2.985,422.452
2019-01-09,2.211,2.513,2.439,2.986,422.982
2019-01-10,2.224,2.471,2.458,2.953,425.748
2019-01-11,2.208,2.488,2.47,2.984,424.493
2019-01-14,2.217,2.46,2.465,2.981,423.384
2019-01-15,2.217,2.432,2.44,2.982,424.953
2019-01-16,2.206,2.436,2.453,2.967,425.16
2019-01-17,2.195,2.415,2.456,2.968,428.398
2019-01-18,2.191,2.432,2.478,2.955,424.612
2019-01-21,2.174,2.469,2.491,2.955,427.489
2019-01-22,2.149,2.48,2.467,2.96,427.412
2019-01-23,2.15,2.498,2.496,2.972,426.462
2019-01-24,2.164,2.518,2.548,2.952,421.598
2019-01-25,2.16,2.493,2.578,2.942,422.198
2019-01-28,2.173,2.481,2.576,2.892,422.903
2019-01-29,2.167,2.434,2.587,2.883,425.808
2019-01-30,2.15,2.476,2.593,2.858,429.077
2019-01-31,2.124,2.445,2.608,2.915,427.715
2019-02-01,2.11,2.465,2.604,2.925,433.256
2019-02-04,2.135,2.462,2.562,2.954,431.071
2019-02-05,2.132,2.434,2.548,2.95,431.529
2019-02-06,2.101,2.466,2.559,2.974,428.796
2019-02-07,2.101,2.464,2.561,2.998,423.782
2019-02-08,2.095,2.504,2.568,3.03,422.262
2019-02-11,2.088,2.477,2.573,3.049,422.472
2019-02-12,2.077,2.486,2.584,3.018,424.729
2019-02-13,2.063,2.505,2.61,2.989,422.619
2019-02-14,2.058,2.487,2.627,2.969,423.275
2019-02-15,2.028,2.465,2.684,2.953,424.655
2019-02-18,2.01,2.488,2.704,2.967,424.28
2019-02-19,2.005,2.47,2.718,3.026,423.81
2019-02-20,2.017,2.44,2.716,3.053,419.791
2019-02-21,2.025,2.454,2.747,3.057,420.654
2019-02-22,2.056,2.446,2.787,3.0,418.662
2019-02-25,2.076,2.47,2.779,2.977,416.285
2019-02-26,2.045,2.477,2.763,2.992,418.603
2019-02-27,2.054,2.47,2.761,2.996,421.663
2019-02-28,2.071,2.467,2.771,3.038,420.055
2019-03-01,2.075,2.481,2.782,3.039,415.585
2019-03-04,2.044,2.524,2.759,3.047,419.242
2019-03-05,2.039,2.561,2.742,3.087,421.087
2019-03-06,2.026,2.535,2.774,3.107,419.163
2019-03-07,2.032,2.523,2.775,3.095,418.626
2019-03-08,2.051,2.511,2.736,3.015,420.457
2019-03-11,2.062,2.515,2.736,3.047,424.003
2019-03-12,2.045,2.52,2.694,3.013,423.168
2019-03-13,2.058,2.523,2.712,3.05,422.651
2019-03-14,2.059,2.566,2.711,2.989,421.952
2019-03-15,2.075,2.568,2.694,3.008,421.105
2019-03-18,2.071,2.56,2.685,3.014,422.236
2019-03-19,2.074,2.558,2.704,3.026,421.859
2019-03-20,2.073,2.551,2.696,3.105,424.716
2019-03-21,2.07,2.547,2.693,3.17,424.433
2019-03-22,2.095,2.575,2.7,3.188,428.642
2019-03-25,2.11,2.585,2.692,3.198,425.056
2019-03-26,2.117,2.537,2.7,3.195,425.898
2019-03-27,2.093,2.587,2.696,3.172,427.491
2019-03-28,2.082,2.599,2.73,3.089,426.037
2019-03-29,2.082,2.562,2.803,3.127,425.455
2019-04-01,2.091,2.552,2.814,3.146,422.2
2019-04-02,2.062,2.54,2.845,3.132,420.867
2019-04-03,2.076,2.539,2.854,3.122,412.577
2019-04-04,2.057,2.532,2.805,3.113,411.724
2019-04-05,2.036,2.485,2.841,3.127,413.004
2019-04-08,2.053,2.474,2.835,3.106,414.405
2019-04-09,2.042,2.508,2.86,3.156,411.811
2019-04-10,2.047,2.478,2.846,3.131,411.765
2019-04-11,2.063,2.515,2.895,3.11,410.357
2019-04-12,2.072,2.489,2.866,3.147,410.785
2019-04-15,2.053,2.471,2.887,3.133,412.852
2019-04-16,2.043,2.467,2.872,3.133,413.199
2019-04-17,2.032,2.452,2.871,3.131,412.636
2019-04-18,2.037,2.445,2.845,3.146,414.643
2019-04-19,2.041,2.454,2.866,3.109,409.149
2019-04-22,2.058,2.457,2.899,3.108,411.78
2019-04-23,2.065,2.51,2.931,3.108,412.06
2019-04-24,2.08,2.507,2.907,3.099,409.665
2019-04-25,2.076,2.518,2.912,3.112,404.4
2019-04-26,2.07,2.508,2.926,3.125,403.526
2019-04-29,2.043,2.477,2.934,3.18,399.548
2019-04-30,2.031,2.455,2.906,3.15,399.115
2019-05-01,2.003,2.471,2.888,3.165,397.133
2019-05-02,1.989,2.485,2.896,3.14,396.345
2019-05-03,2.012,2.489,2.879,3.152,397.677
2019-05-06,2.015,2.52,2.918,3.122,399.654
2019-05-07,2.016,2.48,2.917,3.144,399.58
2019-05-08,2.013,2.471,2.897,3.133,399.128
2019-05-09,2.005,2.469,2.882,3.116,397.197
2019-05-10,2.003,2.477,2.886,3.084,400.663
2019-05-13,2.019,2.455,2.914,3.117,402.705
2019-05-14,2.001,2.477,2.928,3.11,405.919
2019-05-15,1.99,2.462,2.917,3.125,408.05
2019-05-16,1.975,2.467,2.926,3.136,407.127
2019-05-17,1.969,2.455,2.934,3.137,406.037
2019-05-20,2.011,2.433,2.987,3.138,406.497
2019-05-21,2.041,2.42,2.98,3.174,406.255
2019-05-22,2.073,2.438,2.974,3.174,405.662
2019-05-23,2.051,2.425,3.011,3.174,404.29
2019-05-24,2.028,2.402,3.013,3.174,399.307
2019-05-27,2.043,2.429,3.004,3.174,397.947
2019-05-28,2.028,2.427,3.009,3.174,397.808
2019-05-29,2.033,2.404,3.013,3.174,394.902
2019-05-30,2.01,2.429,3.01,3.174,391.848
2019-05-31,2.029,2.432,2.984,3.174,395.83
2019-06-03,2.027,2.402,2.976,3.174,398.402
2019-06-04,2.021,2.365,2.959,3.174,393.188
2019-06-05,2.067,2.343,2.971,3.174,392.421
2019-06-06,2.07,2.348,2.95,3.115,384.405
2019-06-07,2.053,2.347,2.91,3.08,385.156
2019-06-10,2.037,2.344,2.889,3.043,386.177
2019-06-11,2.058,2.331,2.892,3.057,385.009
2019-06-12,2.042,2.343,2.895,3.034,390.416
2019-06-13,2.067,2.347,2.85,3.075,392.557
2019-06-14,2.046,2.376,2.841,3.107,389.577
2019-06-17,2.049,2.371,2.852,3.146,391.432
2019-06-18,2.028,2.374,2.843,3.123,398.346
2019-06-19,2.044,2.394,2.819,3.128,397.867
2019-06-20,2.062,2.395,2.798,3.145,397.283
2019-06-21,2.068,2.362,2.734,3.12,399.487
2019-06-24,2.061,2.376,2.726,3.177,401.18
2019-06-25,2.048,2.395,2.722,3.194,400.484
2019-06-26,2.043,2.435,2.711,3.272,400.277
2019-06-27,2.019,2.409,2.689,3.271,405.434
2019-06-28,2.004,2.407,2.686,3.25,405.474
2019-07-01,2.023,2.365,2.728,3.231,402.885
2019-07-02,2.012,2.376,2.716,3.218,400.192
2019-07-03,2.01,2.38,2.663,3.219,396.416
2019-07-04,2.03,2.379,2.66,3.217,392.991
2019-07-05,2.034,2.388,2.659,3.221,392.37
2019-07-08,2.033,2.374,2.667,3.222,389.159
2019-07-09,2.049,2.38,2.682,3.194,392.979
2019-07-10,2.056,2.426,2.672,3.172,395.417
2019-07-11,2.061,2.408,2.657,3.208,394.914
2019-07-12,2.063,2.4,2.603,3.189,391.876
2019-07-15,2.086,2.407,2.623,3.202,394.382
2019-07-16,2.114,2.429,2.645,3.146,395.981
2019-07-17,2.073,2.433,2.619,3.164,398.521
2019-07-18,2.104,2.428,2.601,3.201,401.528
2019-07-19,2.117,2.407,2.601,3.238,402.812
2019-07-22,2.111,2.384,2.598,3.245,403.501
2019-07-23,2.125,2.388,2.592,3.228,402.807
2019-07-24,2.099,2.374,2.61,3.228,399.306
2019-07-25,2.104,2.371,2.609,3.21,401.476
2019-07-26,2.124,2.393,2.646,3.196,404.051
2019-07-29,2.118,2.366,2.638,3.183,401.196
2019-07-30,2.078,2.354,2.631,3.18,398.36
2019-07-31,2.079,2.354,2.617,3.161,400.017
2019-08-01,2.075,2.353,2.645,3.211,399.793
2019-08-02,2.099,2.34,2.654,3.198,398.188
2019-08-05,2.115,2.306,2.663,3.164,394.351
2019-08-06,2.149,2.298,2.637,3.157,394.025
2019-08-07,2.151,2.272,2.639,3.134,392.636
2019-08-08,2.164,2.284,2.65,3.125,389.857
2019-08-09,2.176,2.312,2.672,3.097,392.573
