date,series_id,value
2019-01-01,DGS10,4.250
2019-01-01,DGS2,1.496
2019-01-01,CPIAUCSL,249.879
2019-01-01,VIXCLS,17.670
2019-01-02,DGS10,4.269
2019-01-02,DGS2,1.498
2019-01-02,CPIAUCSL,250.049
2019-01-02,VIXCLS,18.180
2019-01-03,DGS10,4.274
2019-01-03,DGS2,1.483
2019-01-03,CPIAUCSL,250.435
2019-01-03,VIXCLS,18.170
2019-01-04,DGS10,4.277
2019-01-04,DGS2,1.482
2019-01-04,CPIAUCSL,250.555
2019-01-04,VIXCLS,19.170
2019-01-07,DGS10,4.257
2019-01-07,DGS2,1.470
2019-01-07,CPIAUCSL,250.502
2019-01-07,VIXCLS,19.470
2019-01-08,DGS10,4.236
2019-01-08,DGS2,1.448
2019-01-08,CPIAUCSL,250.544
2019-01-08,VIXCLS,19.770
2019-01-09,DGS10,4.222
2019-01-09,DGS2,1.431
2019-01-09,CPIAUCSL,250.808
2019-01-09,VIXCLS,18.720
2019-01-10,DGS10,4.237
2019-01-10,DGS2,1.427
2019-01-10,CPIAUCSL,250.601
2019-01-10,VIXCLS,17.840
2019-01-11,DGS10,4.252
2019-01-11,DGS2,1.430
2019-01-11,CPIAUCSL,250.860
2019-01-11,VIXCLS,17.830
2019-01-14,DGS10,4.224
2019-01-14,DGS2,1.431
2019-01-14,CPIAUCSL,250.699
2019-01-14,VIXCLS,18.210
2019-01-15,DGS10,4.266
2019-01-15,DGS2,1.446
2019-01-15,CPIAUCSL,250.769
2019-01-15,VIXCLS,18.980
2019-01-16,DGS10,4.256
2019-01-16,DGS2,1.449
2019-01-16,CPIAUCSL,250.688
2019-01-16,VIXCLS,19.400
2019-01-17,DGS10,4.269
2019-01-17,DGS2,1.450
2019-01-17,CPIAUCSL,250.770
2019-01-17,VIXCLS,19.760
2019-01-18,DGS10,4.251
2019-01-18,DGS2,1.443
2019-01-18,CPIAUCSL,250.557
2019-01-18,VIXCLS,19.390
2019-01-21,DGS10,4.289
2019-01-21,DGS2,1.449
2019-01-21,CPIAUCSL,250.494
2019-01-21,VIXCLS,18.640
2019-01-22,DGS10,4.278
2019-01-22,DGS2,1.448
2019-01-22,CPIAUCSL,250.533
2019-01-22,VIXCLS,18.220
2019-01-23,DGS10,4.249
2019-01-23,DGS2,1.426
2019-01-23,CPIAUCSL,250.293
2019-01-23,VIXCLS,18.400
2019-01-24,DGS10,4.221
2019-01-24,DGS2,1.425
2019-01-24,CPIAUCSL,250.077
2019-01-24,VIXCLS,18.530
2019-01-25,DGS10,4.229
2019-01-25,DGS2,1.424
2019-01-25,CPIAUCSL,250.470
2019-01-25,VIXCLS,18.850
2019-01-28,DGS10,4.246
2019-01-28,DGS2,1.422
2019-01-28,CPIAUCSL,250.653
2019-01-28,VIXCLS,19.290
2019-01-29,DGS10,4.273
2019-01-29,DGS2,1.454
2019-01-29,CPIAUCSL,250.702
2019-01-29,VIXCLS,21.270
2019-01-30,DGS10,4.273
2019-01-30,DGS2,1.461
2019-01-30,CPIAUCSL,250.785
2019-01-30,VIXCLS,20.650
2019-01-31,DGS10,4.267
2019-01-31,DGS2,1.470
2019-01-31,CPIAUCSL,250.734
2019-01-31,VIXCLS,20.630
2019-02-01,DGS10,4.345
2019-02-01,DGS2,1.478
2019-02-01,CPIAUCSL,250.935
2019-02-01,VIXCLS,20.810
2019-02-04,DGS10,4.277
2019-02-04,DGS2,1.472
2019-02-04,CPIAUCSL,251.057
2019-02-04,VIXCLS,20.800
2019-02-05,DGS10,4.331
2019-02-05,DGS2,1.475
2019-02-05,CPIAUCSL,250.911
2019-02-05,VIXCLS,21.390
2019-02-06,DGS10,4.271
2019-02-06,DGS2,1.478
2019-02-06,CPIAUCSL,250.911
2019-02-06,VIXCLS,21.220
2019-02-07,DGS10,4.229
2019-02-07,DGS2,1.481
2019-02-07,CPIAUCSL,250.960
2019-02-07,VIXCLS,21.850
2019-02-08,DGS10,4.251
2019-02-08,DGS2,1.473
2019-02-08,CPIAUCSL,251.055
2019-02-08,VIXCLS,21.870
2019-02-11,DGS10,4.223
2019-02-11,DGS2,1.476
2019-02-11,CPIAUCSL,250.754
2019-02-11,VIXCLS,22.420
2019-02-12,DGS10,4.241
2019-02-12,DGS2,1.472
2019-02-12,CPIAUCSL,250.976
2019-02-12,VIXCLS,23.110
2019-02-13,DGS10,4.232
2019-02-13,DGS2,1.458
2019-02-13,CPIAUCSL,250.983
2019-02-13,VIXCLS,22.690
2019-02-14,DGS10,4.231
2019-02-14,DGS2,1.446
2019-02-14,CPIAUCSL,251.173
2019-02-14,VIXCLS,23.270
2019-02-15,DGS10,4.234
2019-02-15,DGS2,1.441
2019-02-15,CPIAUCSL,251.104
2019-02-15,VIXCLS,23.360
2019-02-18,DGS10,4.248
2019-02-18,DGS2,1.439
2019-02-18,CPIAUCSL,250.830
2019-02-18,VIXCLS,23.890
2019-02-19,DGS10,4.281
2019-02-19,DGS2,1.424
2019-02-19,CPIAUCSL,250.478
2019-02-19,VIXCLS,24.870
2019-02-20,DGS10,4.216
2019-02-20,DGS2,1.406
2019-02-20,CPIAUCSL,250.000
2019-02-20,VIXCLS,25.150
2019-02-21,DGS10,4.215
2019-02-21,DGS2,1.394
2019-02-21,CPIAUCSL,249.825
