date,ticker,open,high,low,close,adj_close,volume
2019-01-01,^TNX,42.22,42.234,42.102,42.212,42.212,5766109
2019-01-02,^TNX,42.162,42.744,42.067,42.681,42.681,4501782
2019-01-03,^TNX,42.591,42.709,42.513,42.659,42.659,4438126
2019-01-04,^TNX,42.818,42.836,42.343,42.524,42.524,3687496
2019-01-07,^TNX,42.506,42.563,42.329,42.369,42.369,3505128
2019-01-08,^TNX,42.384,42.389,42.117,42.265,42.265,5210348
2019-01-09,^TNX,42.372,42.427,42.214,42.299,42.299,5257494
2019-01-10,^TNX,42.389,42.635,42.344,42.579,42.579,3704006
2019-01-11,^TNX,42.493,42.609,42.398,42.434,42.434,7045875
2019-01-14,^TNX,42.389,42.423,42.114,42.363,42.363,4464177
2019-01-15,^TNX,42.609,42.745,42.427,42.514,42.514,4156853
2019-01-16,^TNX,42.519,42.549,42.482,42.514,42.514,3678248
2019-01-17,^TNX,42.582,43.001,42.554,42.829,42.829,5737704
2019-01-18,^TNX,42.852,42.862,42.147,42.454,42.454,5185275
2019-01-21,^TNX,42.433,42.877,42.305,42.733,42.733,6269963
2019-01-22,^TNX,42.735,42.965,42.569,42.742,42.742,4070087
2019-01-23,^TNX,42.763,42.807,42.525,42.634,42.634,3373666
2019-01-24,^TNX,42.661,42.712,42.161,42.172,42.172,5697230
2019-01-25,^TNX,41.951,42.234,41.875,42.213,42.213,5386310
2019-01-28,^TNX,42.167,42.469,42.015,42.283,42.283,5889056
2019-01-29,^TNX,42.214,42.814,42.154,42.612,42.612,2555133
2019-01-30,^TNX,42.452,43.04,42.334,42.893,42.893,8030171
2019-01-31,^TNX,42.812,42.816,42.612,42.74,42.74,7387417
2019-02-01,^TNX,42.549,43.498,42.544,43.333,43.333,4308067
2019-02-04,^TNX,43.485,43.612,43.053,43.066,43.066,4428963
2019-02-05,^TNX,43.02,43.348,42.869,43.158,43.158,4974573
2019-02-06,^TNX,43.111,43.232,42.849,42.899,42.899,5407874
2019-02-07,^TNX,42.96,43.07,42.377,42.38,42.38,4883443
2019-02-08,^TNX,42.357,42.48,42.225,42.226,42.226,5229094
2019-02-11,^TNX,42.278,42.339,42.033,42.206,42.206,4733310
2019-02-12,^TNX,42.174,42.594,42.144,42.484,42.484,6231080
2019-02-13,^TNX,42.473,42.571,42.201,42.27,42.27,7001138
2019-02-14,^TNX,42.237,42.315,41.945,42.304,42.304,5800517
2019-02-15,^TNX,42.375,42.533,42.184,42.504,42.504,4494589
2019-02-18,^TNX,42.454,42.602,42.375,42.403,42.403,5297106
2019-02-19,^TNX,42.187,42.408,42.108,42.347,42.347,7678119
2019-02-20,^TNX,42.349,42.41,41.704,41.943,41.943,4665759
2019-02-21,^TNX,42.022,42.164,41.962,42.066,42.066,6486702
2019-02-22,^TNX,42.002,42.041,41.792,41.873,41.873,4754538
2019-02-25,^TNX,41.78,41.886,41.507,41.637,41.637,3375774
2019-02-26,^TNX,41.582,41.901,41.529,41.854,41.854,5923354
2019-02-27,^TNX,41.656,42.371,41.629,42.15,42.15,6481772
2019-02-28,^TNX,42.059,42.151,41.919,42.022,42.022,7786735
2019-03-01,^TNX,41.954,41.979,41.393,41.541,41.541,7449945
2019-03-04,^TNX,41.596,41.96,41.527,41.9,41.9,9191912
2019-03-05,^TNX,41.857,42.237,41.745,42.137,42.137,7903670
2019-03-06,^TNX,42.194,42.298,41.855,41.92,41.92,5687958
2019-03-07,^TNX,41.802,42.058,41.735,41.872,41.872,5015439
2019-03-08,^TNX,42.076,42.122,41.982,42.058,42.058,4589074
2019-03-11,^TNX,41.981,42.473,41.889,42.389,42.389,4077342
2019-03-12,^TNX,42.297,42.457,42.243,42.306,42.306,7406932
2019-03-13,^TNX,42.414,42.606,42.114,42.278,42.278,3660327
2019-03-14,^TNX,42.18,42.238,42.018,42.183,42.183,3895500
2019-03-15,^TNX,42.203,42.252,42.102,42.117,42.117,5806121
2019-03-18,^TNX,42.351,42.506,42.075,42.222,42.222,6260859
2019-03-19,^TNX,42.174,42.228,42.142,42.162,42.162,1969042
2019-03-20,^TNX,41.995,42.683,41.954,42.491,42.491,5068465
2019-03-21,^TNX,42.491,42.561,42.304,42.417,42.417,3439283
2019-03-22,^TNX,42.356,43.009,42.338,42.869,42.869,5634993
2019-03-25,^TNX,42.785,42.854,42.423,42.507,42.507,4156611
2019-03-26,^TNX,42.547,42.712,42.533,42.615,42.615,6291426
2019-03-27,^TNX,42.698,42.845,42.633,42.727,42.727,3934903
2019-03-28,^TNX,42.758,42.791,42.575,42.593,42.593,6656219
2019-03-29,^TNX,42.619,42.637,42.526,42.544,42.544,6534425
2019-04-01,^TNX,42.411,42.512,42.177,42.224,42.224,5410135
2019-04-02,^TNX,42.175,42.338,41.942,42.104,42.104,2660338
