date,ticker,open,high,low,close,adj_close,volume
2019-01-01,SPY,250.332,250.955,249.522,250.916,250.916,10154664
2019-01-02,SPY,250.997,251.467,247.83,247.836,247.836,6559112
2019-01-03,SPY,248.197,250.505,247.607,250.109,250.109,11286410
2019-01-04,SPY,249.316,253.834,248.949,252.981,252.981,13394160
2019-01-07,SPY,252.993,253.954,245.814,247.158,247.158,9762388
2019-01-08,SPY,247.049,247.839,243.161,243.357,243.357,9392053
2019-01-09,SPY,243.523,244.155,242.994,243.762,243.762,11120321
2019-01-10,SPY,243.756,245.198,242.45,242.87,242.87,3914592
2019-01-11,SPY,242.164,242.99,241.857,242.852,242.852,11610452
2019-01-14,SPY,242.239,244.442,240.158,240.409,240.409,19305657
2019-01-15,SPY,240.423,243.157,239.841,242.991,242.991,9631971
2019-01-16,SPY,243.491,245.488,243.088,245.301,245.301,9642625
2019-01-17,SPY,244.214,245.819,243.902,245.526,245.526,12230821
2019-01-18,SPY,245.696,249.18,245.283,248.902,248.902,14935998
2019-01-21,SPY,249.494,250.962,248.664,250.334,250.334,12924904
2019-01-22,SPY,250.258,250.343,247.142,247.798,247.798,3533179
2019-01-23,SPY,248.071,250.255,247.636,248.929,248.929,11690197
2019-01-24,SPY,248.579,248.757,244.904,246.112,246.112,17715790
2019-01-25,SPY,246.053,248.954,245.412,248.752,248.752,11867323
2019-01-28,SPY,247.946,249.313,247.679,248.635,248.635,6536194
2019-01-29,SPY,247.469,248.427,247.256,248.116,248.116,10845489
2019-01-30,SPY,248.583,248.683,246.014,246.128,246.128,6157938
2019-01-31,SPY,245.643,250.253,243.62,249.797,249.797,13698411
2019-02-01,SPY,249.57,250.151,248.688,249.366,249.366,7132352
2019-02-04,SPY,248.675,250.668,248.082,248.12,248.12,10222731
2019-02-05,SPY,247.42,247.616,246.841,247.105,247.105,7426660
2019-02-06,SPY,247.019,249.807,246.836,248.72,248.72,8360656
2019-02-07,SPY,248.357,250.369,247.516,249.845,249.845,14458452
2019-02-08,SPY,250.034,251.157,249.793,251.118,251.118,10310371
2019-02-11,SPY,251.345,252.866,250.548,252.452,252.452,8322393
2019-02-12,SPY,252.614,259.488,252.368,259.057,259.057,6564316
2019-02-13,SPY,259.18,259.707,257.577,257.829,257.829,4384896
2019-02-14,SPY,258.643,259.143,256.162,256.282,256.282,6246158
2019-02-15,SPY,255.735,255.996,253.602,253.824,253.824,10335878
2019-02-18,SPY,253.796,256.412,252.089,255.74,255.74,12940701
